,start,stop,name
0,0,1.543875,1
1,1.543875,2.334625,0
2,2.334625,4.725875,1
3,4.725875,5.1578125,0
4,5.1578125,8.113836018,1
5,8.113836018,10.3516875,0
6,10.3516875,14.565875,2
7,14.565875,18.4413125,1
8,18.4413125,19.601875,0
9,19.601875,20.818125,1
10,20.818125,21.7520625,0
11,21.7520625,23.925375,1
12,23.925375,24.5131875,0
13,24.5131875,29.8298125,1
14,29.8298125,30.4266875,0
15,30.4266875,39.63919916,1
16,39.63919916,40.1959375,0
17,40.1959375,43.9534375,1
18,43.9534375,44.48724939,0
19,44.48724939,47.575625,1
20,47.575625,48.501,0
21,48.501,50.59325,1
22,50.59325,51.059875,0
23,51.059875,51.65175,1
24,51.65175,52.214875,0
25,52.214875,58.495875,1
26,58.495875,58.79775,0
27,58.79775,62.19387506,2
28,62.19387506,63.0740625,1
29,63.0740625,64.89677033,2
30,64.89677033,66.8274098,1
31,66.8274098,67.353,2
32,67.353,67.9968125,2
33,67.9968125,72.0138125,1
34,72.0138125,72.539625,2
35,72.539625,74.658875,1
36,74.658875,75.4490625,2
37,75.4490625,76.53925,1
38,76.53925,77.3558125,0
39,77.3558125,81.526625,1
40,81.526625,82.0551875,0
41,82.0551875,82.9886875,1
42,82.9886875,83.5231875,0
43,83.5231875,84.198,1
44,84.198,84.992375,0
45,84.992375,87.819375,1
46,87.819375,89.3288125,2
47,89.3288125,92.6063125,1
48,92.6063125,93.65475,0
49,93.65475,96.2048125,1
50,96.2048125,98.2319375,2
51,98.2319375,98.8256875,0
52,98.8256875,103.165,2
53,103.165,106.6013125,1
54,106.6013125,107.103625,0
55,107.103625,108.202,1
56,108.202,108.893,0
57,108.893,110.6014375,1
58,110.6014375,113.05475,3
59,113.05475,116.0305625,1
60,116.0305625,116.9095,0
61,116.9095,119.8923125,1
62,119.8923125,120.60075,0
63,120.60075,127.5775,1
64,127.5775,128.13475,0
65,128.13475,136.0626835,1
66,136.0626835,136.922625,0
67,136.922625,143.097125,1
68,143.097125,143.9997569,0
69,143.9997569,149.923125,1
70,149.923125,151.430625,0
71,151.430625,157.9371875,1
72,157.9371875,165.1195,2
73,165.1195,166.5858125,3
74,166.5858125,168.0306875,1
75,168.0306875,169.1306875,3
76,169.1306875,172.1199375,1
77,172.1199375,172.8713125,3
78,172.8713125,173.8938125,2
79,173.8938125,180,1
